dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
200	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	101
400	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	101
600	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	101
800	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	101
1000	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	101
1200	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	101
1400	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	101
1600	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	101
1800	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	101
2000	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	101
